mol_id,atom_id,y_true,y_prob,y_pred,ranking,u_ale,u_epi,u_tot
0,0,0,0.058856695890426636,0,4,0.2280326783657074,0.09485694766044617,0.32288962602615356
0,1,0,0.5494321584701538,1,0,0.7931101322174072,0.19982779026031494,0.9929379224777222
0,2,0,0.03467544913291931,0,7,0.179062157869339,0.03826034069061279,0.21732249855995178
0,3,0,0.025584135204553604,0,8,0.13876944780349731,0.032968878746032715,0.17173832654953003
0,4,0,0.019469741731882095,0,11,0.11188213527202606,0.026570722460746765,0.13845285773277283
0,5,0,0.010788161307573318,0,13,0.07108892500400543,0.014885053038597107,0.08597397804260254
0,6,0,0.18599510192871094,0,3,0.6027096509933472,0.09030824899673462,0.6930178999900818
0,7,0,0.0014190541114658117,0,34,0.012486239895224571,0.002985052764415741,0.015471292659640312
0,8,0,0.006010759621858597,0,17,0.044897593557834625,0.008096806704998016,0.05299440026283264
0,9,0,0.0063942186534404755,0,16,0.04748915508389473,0.008313745260238647,0.05580290034413338
0,10,0,0.00033921233261935413,0,35,0.003932748921215534,0.0004661446437239647,0.004398893564939499
0,11,0,0.005093586631119251,0,20,0.03662000223994255,0.009508099406957626,0.04612810164690018
0,12,0,0.0001825406652642414,0,36,0.002282793400809169,0.0002476368099451065,0.0025304302107542753
0,13,0,0.0037759849801659584,0,23,0.029494844377040863,0.0063351355493068695,0.03582997992634773
0,14,0,0.00878849532455206,0,14,0.058507923036813736,0.014142174273729324,0.07265009731054306
0,15,0,0.00244516902603209,0,26,0.018963415175676346,0.005773808807134628,0.024737223982810974
0,16,0,0.001982814399525523,0,28,0.017774760723114014,0.002885160967707634,0.020659921690821648
0,17,0,0.00252038543112576,0,25,0.020869815722107887,0.004518061876296997,0.025387877598404884
0,18,0,0.0017047080909833312,0,33,0.016461966559290886,0.001672225072979927,0.018134191632270813
0,19,0,0.0029427490662783384,0,24,0.021946335211396217,0.007037347182631493,0.02898368239402771
0,20,0,0.0019973560702055693,0,27,0.018117832019925117,0.0026725325733423233,0.02079036459326744
0,21,0,0.0018039304995909333,0,30,0.015062522143125534,0.003979833796620369,0.019042355939745903
0,22,0,0.0018496200209483504,0,29,0.016631921753287315,0.0028258822858333588,0.019457804039120674
0,23,0,0.0017920576501637697,0,31,0.014919719658792019,0.004014412872493267,0.018934132531285286
0,24,0,0.012270762585103512,0,12,0.07950694113969803,0.01598948985338211,0.09549643099308014
0,25,0,0.0070815784856677055,0,15,0.04880060628056526,0.011954277753829956,0.06075488403439522
0,26,0,0.3129894435405731,0,2,0.6920533180236816,0.20454084873199463,0.8965941667556763
0,27,0,0.003991781268268824,0,22,0.03305042162537575,0.004506506025791168,0.037556927651166916
0,28,0,0.36801546812057495,0,1,0.7524411678314209,0.1966949701309204,0.9491361379623413
0,29,0,0.04764886200428009,0,6,0.19519929587841034,0.08112497627735138,0.2763242721557617
0,30,0,0.04764886200428009,0,5,0.19519929587841034,0.08112497627735138,0.2763242721557617
0,31,0,0.0017546922899782658,0,32,0.015038514509797096,0.0035542082041502,0.018592722713947296
0,32,0,0.004142862278968096,0,21,0.03231072053313255,0.006445195525884628,0.03875591605901718
0,33,0,0.00568391801789403,0,19,0.04255934804677963,0.008013203740119934,0.05057255178689957
0,34,0,0.005838932003825903,0,18,0.044280167669057846,0.007444329559803009,0.051724497228860855
0,35,0,0.019469743594527245,0,10,0.11188213527202606,0.026570722460746765,0.13845285773277283
0,36,0,0.025584133341908455,0,9,0.13876943290233612,0.03296889364719391,0.17173832654953003
