Subdirectory,Data,Model,Dimension of Hidden Layers,Heads,Training Epochs,Learning Rate,Weight Decay,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Jaccard Score,Precision,Recall,ROC AUC Score
1669041850,metaQSAR.sdf,GIN,4,0,600,0.1,0.1,0.096176036,0.21036359903388324,0.21777777777777776,0.36444444444444446,0.15557275541795665,0.1746307558644657,0.5877192982456141,0.6933719186970597
1669044201,metaQSAR.sdf,GIN,4,0,600,0.1,0.01,0.0796449,0.19352882986789324,0.2088888888888889,0.3333333333333333,0.1388888888888889,0.14760147601476015,0.7017543859649122,0.7185554096950615
1669046626,metaQSAR.sdf,GIN,4,0,600,0.1,0.001,0.13014446,0.2611631026403547,0.26666666666666666,0.4,0.18545454545454546,0.21205821205821207,0.5964912280701754,0.7440866351186958
1669048823,metaQSAR.sdf,GIN,4,0,600,0.1,0.0001,0.20401834,0.2570014996644882,0.3022222222222222,0.4222222222222222,0.1820580474934037,0.20658682634730538,0.6052631578947368,0.753547267070565
1669051102,metaQSAR.sdf,GIN,4,0,600,0.1,1e-05,0.110805504,0.15498511131451026,0.2222222222222222,0.3022222222222222,0.1252913752913753,0.13530522341095028,0.6286549707602339,0.6595112320099126
1669053373,metaQSAR.sdf,GIN,4,0,600,0.01,0.1,0.21459079,0.3754671362941687,0.39111111111111113,0.5288888888888889,0.26485148514851486,0.31470588235294117,0.6257309941520468,0.7980527624022772
1669055607,metaQSAR.sdf,GIN,4,0,600,0.01,0.01,0.13275446,0.3238192964776659,0.40444444444444444,0.49333333333333335,0.22146341463414634,0.24945054945054945,0.6637426900584795,0.7980132898458541
1669057841,metaQSAR.sdf,GIN,4,0,600,0.01,0.001,0.19628216,0.3343104247552247,0.4622222222222222,0.5822222222222222,0.22944162436548224,0.2600690448791715,0.6608187134502924,0.8115610230685137
1669060062,metaQSAR.sdf,GIN,4,0,600,0.01,0.0001,0.10007023,0.326027011514791,0.4488888888888889,0.5733333333333334,0.20985691573926868,0.22372881355932203,0.7719298245614035,0.8211938305522098
1669062333,metaQSAR.sdf,GIN,4,0,600,0.01,1e-05,0.1194219,0.3198547883704322,0.4088888888888889,0.5422222222222223,0.212489158716392,0.23200757575757575,0.716374269005848,0.8258425699115364
