Subdirectory,Data,Model,Dimension of Hidden Layers,Heads,Training Epochs,Learning Rate,Weight Decay,Batch Size,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Jaccard Score,Precision,Recall,ROC AUC Score
1669710080,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,8,0.06897684,0.3034350905165139,0.48623853211009177,0.7018348623853211,0.21299005266237567,0.2275,0.7695560253699789,0.8098925777016641
1669710653,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,16,0.08899209,0.3328123186613094,0.5458715596330275,0.7247706422018348,0.236986301369863,0.2595648912228057,0.7315010570824524,0.8189773082290992
1669710966,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,32,0.109896496,0.32977821313846395,0.5321100917431193,0.6788990825688074,0.2308673469387755,0.2484557309540151,0.7653276955602537,0.8252019617935572
1669711142,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,64,0.120682,0.3629055422491007,0.5229357798165137,0.7385321100917431,0.25239398084815323,0.27172312223858613,0.7801268498942917,0.8442142486642593
1669711251,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,8,0.11956608,0.30687043489059845,0.45871559633027525,0.6605504587155964,0.21543026706231455,0.23047619047619047,0.7674418604651163,0.8052437069587068
1669711810,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,16,0.09530357,0.3236674599171534,0.536697247706422,0.7155963302752294,0.227735368956743,0.24571036376115304,0.7568710359408034,0.8239861799486681
1669712116,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,32,0.10676203,0.34131227585525137,0.536697247706422,0.6880733944954128,0.24067796610169492,0.26160648489314664,0.7505285412262156,0.8299153586631183
1669712298,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,64,0.107340164,0.33851623225224947,0.5275229357798165,0.7064220183486238,0.23175182481751824,0.24548969072164947,0.8054968287526427,0.839491384640988
1669712415,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,8,0.097467005,0.31678471785389356,0.5275229357798165,0.7110091743119266,0.2236180904522613,0.24135593220338983,0.7526427061310782,0.8208931611772954
1669713291,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,16,0.10974337,0.33653828217650017,0.5642201834862385,0.7247706422018348,0.240819209039548,0.26557632398753894,0.7209302325581395,0.8291878826411765
1669713831,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,32,0.11288054,0.35304780905013106,0.5688073394495413,0.7201834862385321,0.24581379772270595,0.2645998558038933,0.7758985200845666,0.8356833466288711
1669714112,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,64,0.099292204,0.3332896140582357,0.536697247706422,0.6926605504587156,0.22430437251561613,0.23469994058229351,0.8350951374207188,0.8431230346313465
1669714284,metaQSAR.sdf,GIN,8,0,300,0.01,1e-05,8,0.08992533,0.30885479759628154,0.5229357798165137,0.6972477064220184,0.21424468696151636,0.22730042656916513,0.7885835095137421,0.8202820314917394
