Subdirectory,Data,Model,Dimension of Hidden Layers,Heads,Training Epochs,Learning Rate,Weight Decay,Batch Size,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Jaccard Score,Precision,Recall,ROC AUC Score
1669634955,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,8,0.09129074,0.14797249228009682,0.21559633027522937,0.38073394495412843,0.136560409287682,0.14368530020703935,0.733615221987315,0.6621135470485151
1669635522,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,16,0.092113964,0.14955081811780002,0.23853211009174313,0.38073394495412843,0.13856427378964942,0.14722838137472283,0.7019027484143763,0.6655072725179988
1669635829,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,32,0.11118428,0.15684240074526765,0.21559633027522937,0.3532110091743119,0.14563106796116504,0.1611079706048615,0.6025369978858351,0.6708756469429316
1669636005,metaQSAR.sdf,GIN,8,0,300,0.01,0.01,64,0.11021824,0.15358629318048164,0.2018348623853211,0.3853211009174312,0.13971807628524047,0.14806678383128294,0.7124735729386892,0.6698472150872548
1669636112,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,8,0.08552254,0.2685749488838723,0.42201834862385323,0.6009174311926605,0.19963144963144963,0.2195945945945946,0.6871035940803383,0.7681506513152617
1669636677,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,16,0.13196555,0.2668674455187964,0.4541284403669725,0.6100917431192661,0.19552752293577982,0.21153846153846154,0.7209302325581395,0.7678222905628921
1669636982,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,32,0.100319006,0.2856827180413095,0.4908256880733945,0.6605504587155964,0.20864661654135339,0.2287087912087912,0.7040169133192389,0.786050049353767
1669637155,metaQSAR.sdf,GIN,8,0,300,0.01,0.001,64,0.10815553,0.2825302998077553,0.41743119266055045,0.6284403669724771,0.2018140589569161,0.2161505768063145,0.7526427061310782,0.7890822790328954
1669637262,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,8,0.067954116,0.3007850877957049,0.4724770642201835,0.6880733944954128,0.2074235807860262,0.2185163887291547,0.8033826638477801,0.8160893280762394
1669637830,metaQSAR.sdf,GIN,8,0,300,0.01,0.0001,16,0.06986545,0.32452855853954443,0.518348623853211,0.7064220183486238,0.2310252996005326,0.25218023255813954,0.733615221987315,0.823877058545377
