DimensionHiddenLayers,NumAttentionHeads,NegativeSlope,Dropout,LearningRate,WeightDecay,BatchSize,OptThreshold,MCC,PRAUC,Precision,Recall,ROCAUC
8,3,0.1,0.1,0.01,0.001,16,0.054,0.363,0.42,0.221,0.807,0.893
8,3,0.1,0.1,0.01,0.001,32,0.05,0.368,0.441,0.222,0.82,0.901
8,3,0.1,0.1,0.01,0.001,64,0.055,0.372,0.459,0.224,0.829,0.906
8,3,0.1,0.1,0.001,0.001,16,0.05,0.376,0.481,0.224,0.841,0.911
8,3,0.1,0.1,0.001,0.001,32,0.056,0.379,0.487,0.226,0.841,0.912
8,3,0.1,0.1,0.001,0.001,64,0.053,0.376,0.47,0.225,0.838,0.911
8,3,0.1,0.1,0.0001,0.001,16,0.056,0.368,0.445,0.222,0.824,0.903
8,3,0.1,0.1,0.0001,0.001,32,0.058,0.364,0.439,0.219,0.82,0.9
8,3,0.1,0.1,0.0001,0.001,64,0.052,0.354,0.426,0.211,0.815,0.894
8,3,0.1,0.2,0.01,0.001,16,0.055,0.343,0.385,0.208,0.794,0.883
8,3,0.1,0.2,0.01,0.001,32,0.057,0.348,0.406,0.208,0.809,0.89
8,3,0.1,0.2,0.01,0.001,64,0.055,0.366,0.436,0.219,0.822,0.9
8,3,0.1,0.2,0.001,0.001,16,0.052,0.365,0.449,0.219,0.828,0.903
8,3,0.1,0.2,0.001,0.001,32,0.056,0.369,0.456,0.22,0.836,0.906
8,3,0.1,0.2,0.001,0.001,64,0.051,0.364,0.449,0.215,0.834,0.904
8,3,0.1,0.2,0.0001,0.001,16,0.058,0.359,0.419,0.22,0.803,0.894
8,3,0.1,0.2,0.0001,0.001,32,0.058,0.352,0.403,0.213,0.805,0.89
