ResultsFolder,DimensionHiddenLayers,NumAttentionHeads,NegativeSlope,Dropout,LearningRate,WeightDecay,BatchSize,Fold,Epochs,ValLoss,OptThreshold,MCC,PRAUC,Precision,Recall,ROCAUC
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_0,8,3,0.1,0.1,0.01,0.001,16,0,52,48.919,0.084,0.432,0.494,0.327,0.765,0.88
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_1,8,3,0.1,0.1,0.01,0.001,16,1,95,53.51,0.064,0.344,0.418,0.22,0.799,0.874
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_2,8,3,0.1,0.1,0.01,0.001,16,2,68,54.427,0.056,0.344,0.394,0.212,0.8,0.877
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_3,8,3,0.1,0.1,0.01,0.001,16,3,41,53.888,0.071,0.392,0.451,0.245,0.813,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_4,8,3,0.1,0.1,0.01,0.001,16,4,92,57.701,0.068,0.375,0.406,0.232,0.806,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_5,8,3,0.1,0.1,0.01,0.001,16,5,65,59.62,0.046,0.353,0.4,0.208,0.811,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_6,8,3,0.1,0.1,0.01,0.001,16,6,90,56.861,0.049,0.368,0.417,0.211,0.817,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_7,8,3,0.1,0.1,0.01,0.001,16,7,111,57.841,0.045,0.341,0.41,0.189,0.779,0.899
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_8,8,3,0.1,0.1,0.01,0.001,16,8,65,67.362,0.02,0.298,0.316,0.139,0.804,0.893
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_16_9,8,3,0.1,0.1,0.01,0.001,16,9,101,48.653,0.036,0.379,0.498,0.224,0.872,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_0,8,3,0.1,0.1,0.01,0.001,32,0,105,92.106,0.103,0.456,0.55,0.35,0.771,0.9
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_1,8,3,0.1,0.1,0.01,0.001,32,1,143,97.393,0.056,0.368,0.489,0.237,0.81,0.893
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_2,8,3,0.1,0.1,0.01,0.001,32,2,85,105.769,0.038,0.364,0.434,0.222,0.826,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_3,8,3,0.1,0.1,0.01,0.001,32,3,85,105.262,0.034,0.357,0.469,0.203,0.867,0.905
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_4,8,3,0.1,0.1,0.01,0.001,32,4,46,115.575,0.047,0.35,0.415,0.202,0.846,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_5,8,3,0.1,0.1,0.01,0.001,32,5,64,130.559,0.046,0.356,0.38,0.22,0.771,0.883
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_6,8,3,0.1,0.1,0.01,0.001,32,6,50,113.0,0.04,0.352,0.421,0.191,0.85,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_7,8,3,0.1,0.1,0.01,0.001,32,7,125,111.668,0.034,0.342,0.423,0.185,0.804,0.911
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_8,8,3,0.1,0.1,0.01,0.001,32,8,38,133.448,0.033,0.308,0.286,0.144,0.813,0.899
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_32_9,8,3,0.1,0.1,0.01,0.001,32,9,114,89.964,0.068,0.424,0.545,0.271,0.844,0.923
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_0,8,3,0.1,0.1,0.01,0.001,64,0,67,184.228,0.099,0.45,0.557,0.332,0.802,0.9
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_1,8,3,0.1,0.1,0.01,0.001,64,1,83,196.264,0.083,0.41,0.495,0.286,0.776,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_2,8,3,0.1,0.1,0.01,0.001,64,2,86,209.646,0.058,0.374,0.44,0.235,0.807,0.895
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_3,8,3,0.1,0.1,0.01,0.001,64,3,110,211.712,0.061,0.379,0.463,0.229,0.835,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_4,8,3,0.1,0.1,0.01,0.001,64,4,64,219.182,0.048,0.38,0.461,0.227,0.843,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_5,8,3,0.1,0.1,0.01,0.001,64,5,73,230.473,0.03,0.349,0.44,0.195,0.859,0.905
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_6,8,3,0.1,0.1,0.01,0.001,64,6,122,218.017,0.038,0.359,0.454,0.196,0.85,0.916
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_7,8,3,0.1,0.1,0.01,0.001,64,7,90,229.382,0.045,0.311,0.403,0.157,0.822,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_8,8,3,0.1,0.1,0.01,0.001,64,8,68,252.571,0.041,0.302,0.348,0.138,0.827,0.91
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-02_1e-03_64_9,8,3,0.1,0.1,0.01,0.001,64,9,65,182.527,0.047,0.408,0.529,0.248,0.873,0.922
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_0,8,3,0.1,0.1,0.001,0.001,16,0,122,43.749,0.075,0.432,0.592,0.305,0.829,0.907
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_1,8,3,0.1,0.1,0.001,0.001,16,1,101,46.85,0.077,0.417,0.519,0.29,0.786,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_2,8,3,0.1,0.1,0.001,0.001,16,2,76,50.784,0.057,0.357,0.466,0.214,0.836,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_3,8,3,0.1,0.1,0.001,0.001,16,3,103,51.099,0.051,0.376,0.497,0.22,0.861,0.913
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_4,8,3,0.1,0.1,0.001,0.001,16,4,150,52.999,0.048,0.38,0.48,0.221,0.867,0.914
