ResultsFolder,DimensionHiddenLayers,NumAttentionHeads,NegativeSlope,Dropout,LearningRate,WeightDecay,BatchSize,Fold,Epochs,ValLoss,OptThreshold,MCC,PRAUC,Precision,Recall,ROCAUC
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_5,8,3,0.1,0.1,0.001,0.001,16,5,86,56.55,0.032,0.356,0.458,0.197,0.873,0.913
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_6,8,3,0.1,0.1,0.001,0.001,16,6,96,54.288,0.035,0.351,0.46,0.186,0.87,0.92
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_7,8,3,0.1,0.1,0.001,0.001,16,7,70,55.684,0.037,0.368,0.447,0.21,0.791,0.911
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_8,8,3,0.1,0.1,0.001,0.001,16,8,67,64.037,0.018,0.287,0.346,0.126,0.836,0.909
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_16_9,8,3,0.1,0.1,0.001,0.001,16,9,93,44.431,0.066,0.432,0.54,0.274,0.859,0.929
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_0,8,3,0.1,0.1,0.001,0.001,32,0,121,90.31,0.087,0.443,0.569,0.313,0.838,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_1,8,3,0.1,0.1,0.001,0.001,32,1,127,89.922,0.067,0.398,0.56,0.256,0.839,0.912
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_2,8,3,0.1,0.1,0.001,0.001,32,2,100,103.262,0.069,0.38,0.445,0.248,0.78,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_3,8,3,0.1,0.1,0.001,0.001,32,3,142,98.9,0.053,0.385,0.51,0.227,0.862,0.915
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_4,8,3,0.1,0.1,0.001,0.001,32,4,166,104.7,0.057,0.402,0.491,0.249,0.831,0.915
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_5,8,3,0.1,0.1,0.001,0.001,32,5,79,112.082,0.051,0.368,0.463,0.209,0.86,0.913
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_6,8,3,0.1,0.1,0.001,0.001,32,6,138,109.251,0.05,0.365,0.483,0.197,0.868,0.922
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_7,8,3,0.1,0.1,0.001,0.001,32,7,81,111.418,0.046,0.352,0.45,0.189,0.82,0.913
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_8,8,3,0.1,0.1,0.001,0.001,32,8,118,127.769,0.015,0.3,0.38,0.136,0.832,0.914
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_32_9,8,3,0.1,0.1,0.001,0.001,32,9,76,90.136,0.061,0.395,0.517,0.236,0.878,0.923
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_0,8,3,0.1,0.1,0.001,0.001,64,0,188,178.181,0.081,0.43,0.58,0.302,0.833,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_1,8,3,0.1,0.1,0.001,0.001,64,1,119,186.107,0.063,0.387,0.524,0.25,0.827,0.902
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_2,8,3,0.1,0.1,0.001,0.001,64,2,102,206.957,0.061,0.381,0.458,0.242,0.805,0.898
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_3,8,3,0.1,0.1,0.001,0.001,64,3,134,201.606,0.052,0.393,0.487,0.243,0.828,0.915
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_4,8,3,0.1,0.1,0.001,0.001,64,4,133,210.386,0.067,0.407,0.473,0.252,0.838,0.917
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_5,8,3,0.1,0.1,0.001,0.001,64,5,134,225.74,0.041,0.363,0.457,0.205,0.859,0.912
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_6,8,3,0.1,0.1,0.001,0.001,64,6,124,217.033,0.05,0.369,0.456,0.206,0.844,0.916
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_7,8,3,0.1,0.1,0.001,0.001,64,7,120,224.321,0.033,0.331,0.413,0.17,0.837,0.911
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_8,8,3,0.1,0.1,0.001,0.001,64,8,126,258.04,0.021,0.288,0.331,0.126,0.837,0.907
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-03_1e-03_64_9,8,3,0.1,0.1,0.001,0.001,64,9,110,182.058,0.06,0.412,0.517,0.251,0.875,0.925
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_0,8,3,0.1,0.1,0.0001,0.001,16,0,237,46.317,0.123,0.457,0.552,0.346,0.785,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_1,8,3,0.1,0.1,0.0001,0.001,16,1,186,48.578,0.074,0.387,0.497,0.26,0.791,0.893
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_2,8,3,0.1,0.1,0.0001,0.001,16,2,150,53.657,0.054,0.346,0.423,0.212,0.803,0.885
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_3,8,3,0.1,0.1,0.0001,0.001,16,3,218,52.192,0.059,0.396,0.467,0.252,0.803,0.905
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_4,8,3,0.1,0.1,0.0001,0.001,16,4,264,54.323,0.052,0.372,0.459,0.223,0.829,0.907
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_5,8,3,0.1,0.1,0.0001,0.001,16,5,286,56.725,0.031,0.343,0.447,0.185,0.884,0.909
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_6,8,3,0.1,0.1,0.0001,0.001,16,6,213,55.569,0.042,0.37,0.442,0.206,0.846,0.917
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_7,8,3,0.1,0.1,0.0001,0.001,16,7,171,57.326,0.042,0.332,0.418,0.175,0.809,0.905
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_8,8,3,0.1,0.1,0.0001,0.001,16,8,76,67.511,0.036,0.277,0.264,0.121,0.826,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_16_9,8,3,0.1,0.1,0.0001,0.001,16,9,168,47.157,0.048,0.394,0.483,0.238,0.865,0.917
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_0,8,3,0.1,0.1,0.0001,0.001,32,0,250,94.378,0.113,0.425,0.533,0.317,0.774,0.887
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_1,8,3,0.1,0.1,0.0001,0.001,32,1,263,97.377,0.082,0.391,0.488,0.26,0.802,0.896
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_2,8,3,0.1,0.1,0.0001,0.001,32,2,248,104.706,0.067,0.355,0.435,0.221,0.798,0.887
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_3,8,3,0.1,0.1,0.0001,0.001,32,3,270,104.776,0.055,0.377,0.464,0.225,0.841,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_4,8,3,0.1,0.1,0.0001,0.001,32,4,215,112.672,0.051,0.374,0.439,0.223,0.838,0.901
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_5,8,3,0.1,0.1,0.0001,0.001,32,5,206,118.437,0.051,0.355,0.416,0.209,0.815,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_6,8,3,0.1,0.1,0.0001,0.001,32,6,301,110.504,0.044,0.363,0.433,0.202,0.84,0.914
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_7,8,3,0.1,0.1,0.0001,0.001,32,7,219,115.856,0.034,0.312,0.406,0.157,0.825,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_8,8,3,0.1,0.1,0.0001,0.001,32,8,106,133.638,0.022,0.282,0.278,0.126,0.815,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_32_9,8,3,0.1,0.1,0.0001,0.001,32,9,255,92.076,0.059,0.407,0.502,0.252,0.857,0.918
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_0,8,3,0.1,0.1,0.0001,0.001,64,0,326,188.375,0.079,0.393,0.533,0.269,0.832,0.889
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_1,8,3,0.1,0.1,0.0001,0.001,64,1,431,193.075,0.066,0.366,0.498,0.235,0.815,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_2,8,3,0.1,0.1,0.0001,0.001,64,2,162,221.819,0.057,0.343,0.387,0.219,0.766,0.867
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_3,8,3,0.1,0.1,0.0001,0.001,64,3,230,216.159,0.054,0.367,0.442,0.222,0.819,0.896
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_4,8,3,0.1,0.1,0.0001,0.001,64,4,293,232.443,0.062,0.378,0.414,0.239,0.786,0.888
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_5,8,3,0.1,0.1,0.0001,0.001,64,5,242,239.921,0.051,0.356,0.399,0.209,0.818,0.891
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_6,8,3,0.1,0.1,0.0001,0.001,64,6,208,230.593,0.039,0.341,0.394,0.188,0.817,0.901
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_7,8,3,0.1,0.1,0.0001,0.001,64,7,272,231.153,0.037,0.308,0.4,0.153,0.834,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_8,8,3,0.1,0.1,0.0001,0.001,64,8,302,260.15,0.032,0.303,0.315,0.14,0.819,0.901
output/BB/gatv2/bce/train/_8_3_1e-01_1e-01_1e-04_1e-03_64_9,8,3,0.1,0.1,0.0001,0.001,64,9,151,191.521,0.047,0.382,0.479,0.234,0.841,0.911
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_0,8,3,0.1,0.2,0.01,0.001,16,0,73,50.072,0.075,0.429,0.479,0.319,0.777,0.88
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_1,8,3,0.1,0.2,0.01,0.001,16,1,61,52.432,0.07,0.354,0.433,0.235,0.772,0.868
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_2,8,3,0.1,0.2,0.01,0.001,16,2,36,57.269,0.054,0.309,0.366,0.189,0.777,0.86
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_3,8,3,0.1,0.2,0.01,0.001,16,3,39,58.894,0.073,0.344,0.344,0.216,0.761,0.87
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_4,8,3,0.1,0.2,0.01,0.001,16,4,52,60.15,0.066,0.357,0.394,0.215,0.809,0.885
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_5,8,3,0.1,0.2,0.01,0.001,16,5,70,63.582,0.062,0.326,0.357,0.194,0.776,0.872
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_6,8,3,0.1,0.2,0.01,0.001,16,6,53,58.325,0.036,0.344,0.376,0.189,0.824,0.902
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_7,8,3,0.1,0.2,0.01,0.001,16,7,92,59.36,0.046,0.328,0.356,0.177,0.785,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_8,8,3,0.1,0.2,0.01,0.001,16,8,44,69.03,0.025,0.284,0.281,0.128,0.81,0.893
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_16_9,8,3,0.1,0.2,0.01,0.001,16,9,70,49.794,0.041,0.362,0.462,0.214,0.854,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_0,8,3,0.1,0.2,0.01,0.001,32,0,67,97.637,0.072,0.401,0.516,0.285,0.8,0.883
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_1,8,3,0.1,0.2,0.01,0.001,32,1,51,101.887,0.065,0.358,0.442,0.232,0.801,0.88
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_2,8,3,0.1,0.2,0.01,0.001,32,2,61,111.585,0.036,0.314,0.382,0.192,0.785,0.868
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_3,8,3,0.1,0.2,0.01,0.001,32,3,77,111.097,0.064,0.361,0.412,0.22,0.808,0.89
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_4,8,3,0.1,0.2,0.01,0.001,32,4,64,115.921,0.054,0.358,0.409,0.217,0.805,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_5,8,3,0.1,0.2,0.01,0.001,32,5,37,125.731,0.061,0.331,0.356,0.188,0.824,0.885
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_6,8,3,0.1,0.2,0.01,0.001,32,6,89,117.173,0.043,0.346,0.388,0.19,0.828,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_7,8,3,0.1,0.2,0.01,0.001,32,7,50,126.915,0.076,0.311,0.344,0.163,0.79,0.889
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_8,8,3,0.1,0.2,0.01,0.001,32,8,43,133.546,0.036,0.291,0.307,0.132,0.817,0.895
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_32_9,8,3,0.1,0.2,0.01,0.001,32,9,55,96.628,0.063,0.407,0.502,0.259,0.829,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_0,8,3,0.1,0.2,0.01,0.001,64,0,88,190.535,0.079,0.416,0.531,0.294,0.816,0.889
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_1,8,3,0.1,0.2,0.01,0.001,64,1,66,202.627,0.064,0.373,0.463,0.24,0.815,0.89
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_2,8,3,0.1,0.2,0.01,0.001,64,2,91,213.206,0.047,0.356,0.434,0.218,0.813,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_3,8,3,0.1,0.2,0.01,0.001,64,3,135,209.675,0.057,0.38,0.472,0.227,0.844,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_4,8,3,0.1,0.2,0.01,0.001,64,4,98,222.583,0.061,0.381,0.441,0.229,0.838,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_5,8,3,0.1,0.2,0.01,0.001,64,5,75,241.183,0.057,0.369,0.413,0.226,0.794,0.895
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_6,8,3,0.1,0.2,0.01,0.001,64,6,119,227.702,0.02,0.342,0.42,0.182,0.854,0.912
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_7,8,3,0.1,0.2,0.01,0.001,64,7,79,235.34,0.057,0.339,0.387,0.186,0.785,0.898
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_8,8,3,0.1,0.2,0.01,0.001,64,8,70,260.817,0.035,0.297,0.313,0.138,0.807,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-02_1e-03_64_9,8,3,0.1,0.2,0.01,0.001,64,9,115,187.763,0.07,0.405,0.492,0.252,0.85,0.917
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_0,8,3,0.1,0.2,0.001,0.001,16,0,92,46.226,0.092,0.425,0.545,0.303,0.813,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_1,8,3,0.1,0.2,0.001,0.001,16,1,57,49.731,0.071,0.384,0.468,0.258,0.789,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_2,8,3,0.1,0.2,0.001,0.001,16,2,85,52.408,0.076,0.366,0.438,0.236,0.777,0.887
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_3,8,3,0.1,0.2,0.001,0.001,16,3,90,52.383,0.054,0.368,0.447,0.217,0.845,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_4,8,3,0.1,0.2,0.001,0.001,16,4,92,55.065,0.044,0.379,0.449,0.223,0.853,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_5,8,3,0.1,0.2,0.001,0.001,16,5,107,57.292,0.048,0.368,0.425,0.215,0.834,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_6,8,3,0.1,0.2,0.001,0.001,16,6,191,54.788,0.035,0.351,0.449,0.186,0.868,0.916
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_7,8,3,0.1,0.2,0.001,0.001,16,7,105,57.044,0.023,0.309,0.428,0.154,0.832,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_8,8,3,0.1,0.2,0.001,0.001,16,8,70,67.399,0.016,0.28,0.305,0.12,0.851,0.899
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_16_9,8,3,0.1,0.2,0.001,0.001,16,9,81,46.599,0.059,0.423,0.531,0.277,0.82,0.919
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_0,8,3,0.1,0.2,0.001,0.001,32,0,116,90.379,0.093,0.436,0.549,0.314,0.813,0.9
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_1,8,3,0.1,0.2,0.001,0.001,32,1,241,92.708,0.072,0.401,0.53,0.266,0.815,0.903
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_2,8,3,0.1,0.2,0.001,0.001,32,2,74,107.104,0.082,0.367,0.425,0.237,0.777,0.886
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_3,8,3,0.1,0.2,0.001,0.001,32,3,148,101.972,0.045,0.377,0.467,0.223,0.852,0.911
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_4,8,3,0.1,0.2,0.001,0.001,32,4,89,109.173,0.055,0.378,0.444,0.225,0.842,0.905
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_5,8,3,0.1,0.2,0.001,0.001,32,5,122,114.137,0.045,0.357,0.436,0.199,0.867,0.909
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_6,8,3,0.1,0.2,0.001,0.001,32,6,175,107.153,0.042,0.363,0.458,0.196,0.862,0.918
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_7,8,3,0.1,0.2,0.001,0.001,32,7,127,113.824,0.05,0.34,0.424,0.182,0.812,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_8,8,3,0.1,0.2,0.001,0.001,32,8,101,131.815,0.021,0.271,0.309,0.115,0.844,0.901
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_32_9,8,3,0.1,0.2,0.001,0.001,32,9,76,92.257,0.053,0.4,0.515,0.24,0.876,0.921
