Subdirectory,Data,Model,Dimension of Hidden Layers,Heads,Training Epochs,Learning Rate,Weight Decay,Batch Size,Optimal Threshold,MCC,Top1 Accuracy,Top2 Accuracy,Jaccard Score,Precision,Recall,ROC AUC Score
1669712580,xenosite.sdf,GIN,8,0,300,0.01,0.01,8,0.17547093,0.465845197276355,0.7352941176470589,0.8235294117647058,0.3387096774193548,0.3727810650887574,0.7875,0.8931088560885609
1669712733,xenosite.sdf,GIN,8,0,300,0.01,0.01,16,0.11344121,0.44015757409486317,0.6617647058823529,0.8235294117647058,0.30021141649048627,0.3120879120879121,0.8875,0.9000299815498155
1669712815,xenosite.sdf,GIN,8,0,300,0.01,0.01,32,0.08754188,0.4428336864562748,0.6764705882352942,0.7941176470588235,0.30786516853932583,0.3246445497630332,0.85625,0.9017642988929889
1669712866,xenosite.sdf,GIN,8,0,300,0.01,0.01,64,0.16271387,0.41652019035769206,0.6470588235294118,0.7941176470588235,0.2924107142857143,0.3126491646778043,0.81875,0.888083487084871
1669712905,xenosite.sdf,GIN,8,0,300,0.01,0.001,8,0.1581332,0.43764128860696294,0.6911764705882353,0.7647058823529411,0.30969267139479906,0.33248730964467005,0.81875,0.8903874538745387
1669713064,xenosite.sdf,GIN,8,0,300,0.01,0.001,16,0.22597978,0.4505570915615561,0.6764705882352942,0.8235294117647058,0.3373860182370821,0.3964285714285714,0.69375,0.8744972324723248
1669713156,xenosite.sdf,GIN,8,0,300,0.01,0.001,32,0.17887019,0.4576015703007959,0.6911764705882353,0.8382352941176471,0.3342391304347826,0.3716012084592145,0.76875,0.8881988007380073
1669713218,xenosite.sdf,GIN,8,0,300,0.01,0.001,64,0.09838184,0.4190513230868026,0.6176470588235294,0.7794117647058824,0.2842741935483871,0.29559748427672955,0.88125,0.886164667896679
1669713261,xenosite.sdf,GIN,8,0,300,0.01,0.0001,8,0.085697584,0.43002327134408685,0.6029411764705882,0.7647058823529411,0.29411764705882354,0.30701754385964913,0.875,0.8894372693726937
1669713432,xenosite.sdf,GIN,8,0,300,0.01,0.0001,16,0.18734789,0.4362601038701365,0.6029411764705882,0.7794117647058824,0.30952380952380953,0.3333333333333333,0.8125,0.8912776752767527
1669713526,xenosite.sdf,GIN,8,0,300,0.01,0.0001,32,0.1081213,0.43365809263322114,0.6176470588235294,0.7647058823529411,0.2926829268292683,0.3025210084033613,0.9,0.8985239852398524
