Dimension of hidden layer: 16
Number of training epochs: 400
Learning rate: 0.0001
Weight decay: 0.001
Best threshold: 0.019218068569898605
Validation MCC: 0.28
Validation Top1-Accuracy: 0.38
Validation Top2-Accuracy: 0.57
Validation Jaccard Score: 0.22
Validation Precision: 0.25
Validation Recall: 0.63
Validation ROC-AUC-Score: 0.77
